file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0006_0156_1288794_to_1298577,གྲོས་སྡུར་བྱེད་ནས་བཟོས་ར་ཨ་ནི་གདངས་བཟོས་པ་འདྲ་ཞིག་ཡིན་ན་ཨ་ནི་ད་ང་ཚོ་མི་གཉིས་ཀིས་ད་གཞས་གཅིག་བཟོ་ཡི་ཡོད་ར་ད་རྗེས་མ་མི་ཚོ་འདི་ང་ཚོ་གཉིས་ཀརོགས་པ་བྱེད།  ,gros sdur byed nas bzos ra a ni gdangs bzos pa 'dra zhig yin na a ni da nga tsho mi gnyis kis da gzhas gcig bzo yi yod ra da rjes ma mi tsho 'di nga tsho gnyis karogs pa byed/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0006_0156_1288794_to_1298577.wav,STT_NS,3,148,9.783,wav16k/STT_NS_M0006_0156_1288794_to_1298577.wav,་མཉམ་དུ་ལ་གྲོས་བསྡུར་བྱས་ནས་བཟོས་རཱ། ཨེ་ནས་གདང་བཟོས་བ་འདྲ་ཞིག་ཡིན་ན་ཨེ་ནས་ད་ང་ཚོ་མི་གཉིས་ཀྱི་ད་གཞས་ཅིག་བཟོ་གི་ཡོད་རཱ། ད་ད་ཡོད་བརྗེས་མ་མི་ཚེ་འདི་ང་ཚོ་གཉིས་ཀ་མཉམ་དུ་རོགས་པ་བྱས་།
STT_NS_M0005_0108_843437_to_851234,ང་ནི་ཡོད་བ་ཁྱད་པར་མེད་རྒྱོ་འདྲ་བོ་སྦྲིག་པ་ཡིན་ན་ཡོད་བ་ཁ་ཤས་ཤིག་མ་གཏོགས་བླུགས་དགོས་མ་རཱ་རིལ་མ་ཡིན་ན་མང་པོ བེད་སྤྱོད་བྱེད་དགོ་འདུག་བ་ཨོ་ཨེ་འདྲའི་འདྲ་བོ་ཚོར་གྱི་འདུག་ཡོད་བ།  ,nga ni yod ba khyad par med rgyo 'dra bo sbrig pa yin na yod ba kha shas shig ma gtogs blugs dgos ma rA ril ma yin na mang po_bed spyod byed dgo 'dug ba o e 'dra'i 'dra bo tshor gyi 'dug yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0005_0108_843437_to_851234.wav,STT_NS,3,171,7.797,wav16k/STT_NS_M0005_0108_843437_to_851234.wav,ང་ནི་ཡོད་བ་ཁྱད་པར་མེད་རྒྱོ་འདྲ་བོ་སྒྲིག་པ་ཡིན་ན་ཡོད་བ་ཁ་ཤས་ཅིག་མ་གཏོགས་བླུག་དགོས་མ་རརི་མ་རིན་ན་མང་པོ་ི་བེད་སྤྱོད་བྱུང་གི་འདུག་ག་ཨོ་ཨེ་འདྲའ་འདྲ་བོ་ཚོར་གི་འདུག་ཡ་བ
STT_NS_M0005_0109_851419_to_860346,ཨེ་ནས་འདི་དུས་ཚོད་འདི་ལ་ཡོད་བ་སྐྱེ་དམན་ཡོད་རཱ་ད་ང་ཚོ་སྐྱེ་དམན་དེ་ཚོ་ཡོད་བ་ད་ལས་ཀ་བྱེད་ཡ་དུས་ཚོད་རེད་ཡོད་བ་ད་ལུག་གང་ཚང་ནི་ལུག་རི་ལ་རྒྱབ་ཀྱི་རཱ་ཨེ་ནས་ང་ཚོ་ཚང་མ་འདི་བྱས་ཡ་རེད་ད་ག་རེ་རེད།  ,e nas 'di dus tshod 'di la yod ba skye dman yod rA da nga tsho skye dman de tsho yod ba da las ka byed ya dus tshod red yod ba da lug gang tshang ni lug ri la rgyab kyi rA e nas nga tsho tshang ma 'di byas ya red da ga re red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0005_0109_851419_to_860346.wav,STT_NS,3,185,8.927,wav16k/STT_NS_M0005_0109_851419_to_860346.wav,ཨེ་ནས་འདི་དུས་ཚོད་འདི་ལ་ཡོད་བ་སྐྱེས་དམན་ཡོད་རཱ་ད་ང་ཚོ་སྐྱེས་དམན་འདི་ཚོ་ཡོད་ད་ལས་ཀ་བྱེད་ཡ་དུས་ཚོད་རེད་ཡོད་བ། ད་ལུག་གང་ཚང་ནི་ལུག་རི་ལ་རྒྱབ་ཀི་རཱ། ཨེ་ནས་ང་ཚོ་ཚང་མ་འདི་བྱེད་ཡ་རེད་ད་ག་རེ།
STT_NS_M0005_0110_860532_to_866109,ཨ་ལེ། འདི་ཡོད་བ་སྦྲིག་པ་གང་ཚང་སྒྲིག་ཡ་འདྲ་བོ་སྦྲིག་པ་ཚང་མ་བཀབ་ཨེ་ནས་འདི་ཨ་མ་གཅིག་པུ་རེད ,a le/_'di yod ba sbrig pa gang tshang sgrig ya 'dra bo sbrig pa tshang ma bkab e nas 'di a ma gcig pu red_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0005_0110_860532_to_866109.wav,STT_NS,3,88,5.577,wav16k/STT_NS_M0005_0110_860532_to_866109.wav,ཨ་ལེ་ འདི་ཡོད་བསྲིག་པ་གང་ཚང་བྲི་ཡ་འདྲ་བོ་སྒྲིག་པ་ཚང་མ་སྐམ་ ཨེ་ནས་འདི་ཨ་མ་གཅིག་པོ
STT_NS_M0005_0111_866109_to_871686,ལབ་ཀྱི་ཡོད་མ་རེད་ད་འདི་ཡོད་བ་ནང་ལ་བུ་མོ་ཡོད་ཀྱོག་གང་ཚང་འགྲོ་ཡི་རེད་ཡོད་བ་ཨེ་ནས་ང་ཚོ་ཚང་མ་ལས་ཀ་ཚང་མ་བྱས་ཨེ་ནས་ཨེ་འདྲའི་ཡོད་རེད།  ,lab kyi yod ma red da 'di yod ba nang la bu mo yod kyog gang tshang 'gro yi red yod ba e nas nga tsho tshang ma las ka tshang ma byas e nas e 'dra'i yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0005_0111_866109_to_871686.wav,STT_NS,3,128,5.577,wav16k/STT_NS_M0005_0111_866109_to_871686.wav,ལས་ཀ་ཡ་མ་རེད་ད་འདི་ཡོད་བ་ནང་ལ་བུ་མོ་ཡོད་རྒྱོ་གང་ཚང་འགྲོ་ཡི་རེད་ཡོད་བ། ཨེ་ནས་ང་ཚོ་ཚང་མ་ལས་ཀ་ལོག་ན་བྱས་ཨེ་ནས་ཨེ་འདྲའི་ཡོད་རེད།
STT_NS_M0005_0112_872175_to_875112,ཨ་ལེ་ཨེ་ནས་ད་འགྲིག་འདུག་གཱ་ང་ད་ཡང་དྲན་པ་ག་རེ་འདུག་ལབ་དགོས།  ,a le e nas da 'grig 'dug gA nga da yang dran pa ga re 'dug lab dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0005_0112_872175_to_875112.wav,STT_NS,3,60,2.937,wav16k/STT_NS_M0005_0112_872175_to_875112.wav,ཨ་ལེ་ཨེ་འདྲའི་ད་འགྲིག་འདུག་ང་ད་ཡོད་ཡང་དྲན་པ་ག་རེ་འདུག་ལབ་དགོས་བས།
STT_NS_M0005_0113_875247_to_882790,རྨོ་རྨོ་གིས་ག་རེ་བྱེད་ཀྱོག་འདྲ་བོ་ཞིག་འདུག་ཟེར་དགོས་འི་ད་ང་ཚོ་ད་ལྟ་བ་གླང་ལྕི་བ་ལབ་གཅིག་ཡོད་བ་ལྕི་བ་དང་ལྕི་བ་ག་རེ་ཀ་ཅི་ཡིན་ན་ཧ་གོ་མ་སོང་ད་ད་རློན་རློན་པ་རེད་ད།  ,rmo rmo gis ga re byed kyog 'dra bo zhig 'dug zer dgos 'i da nga tsho da lta ba glang lci ba lab gcig yod ba lci ba dang lci ba ga re ka ci yin na ha go ma song da da rlon rlon pa red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0005_0113_875247_to_882790.wav,STT_NS,3,159,7.543,wav16k/STT_NS_M0005_0113_875247_to_882790.wav,རྨོ་མོ་གིས་ག་རེ་བྱེད་རྒྱོ་འདྲ་བོ་ཅིག་ལབ་གོ་བ། ད་ང་ཚོ་ད་ལྟ་བར་ལམ་ལཅི་ཡ་ལབ་ཡ་ཅིག་ཡོད་བཅི་ཡ་དང་ད་ཅི་ཡ་ག་རེ་ཅི་ཡིན་ན་གོ་ལ་རློན་པོ་རློང་པ་རེད་ད།
STT_NS_M0006_0179_1483692_to_1489649,ཨེ་འདྲའི་བྱེད་བསྡད་ཤག་ཚང་མ་ལག་པ་འདྲ་བོ་བརྐྱང་རཱ་གནམ་ལ། མཚན་ཚོགས་ལ་མང་ཆེ་ལག་པ་འདྲ་བོ་བརྐྱང་ཡ་མ་གཏོགས་ཡོད་རྒྱུ་མ་རེད་རཱ།  ,e 'dra'i byed bsdad shag tshang ma lag pa 'dra bo brkyang rA gnam la/_mtshan tshogs la mang che lag pa 'dra bo brkyang ya ma gtogs yod rgyu ma red rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0006_0179_1483692_to_1489649.wav,STT_NS,3,120,5.957,wav16k/STT_NS_M0006_0179_1483692_to_1489649.wav,ཨེ་འདྲའི་འ་ྲ་ོ་བྱེད་བསྡད་ཤག་ཚང་མ་ཡོད་བ་ལག་པ་འདྲ་བརྐྱང་ར་གནའ་མ། མཚན་མཚམ་མང་ཆེ་བ་ལག་པ་འདྲ་བོ་བརྐྱང་ཡ་མ་གཏོགས་ཡོད་ཀྱི་མ་རེད་ར།
STT_NS_M0006_0180_1496129_to_1503410,ང་ད་གཞས་འདྲ་བོ་རྩོམ་རྩོམ་ཟེར་ན་ད་ཡོད་བ་ཁྱོད་གཞས་བརྩོམ་ནས་གཞས་བཏང་དགོས་རཱ་ད་འོ་འདི་བསམས་ཀྱི་འདུག་ད་རཱ་ངས་གཞས་རྩོམ་རོགས་བྱེད་དགོས་ཨཱ་ཚིག་རྫུན་མ་ཟེར་ཡིན་ཧི་ཧི་ཧི་།  ,nga da gzhas 'dra bo rtsom rtsom zer na da yod ba khyod gzhas brtsom nas gzhas btang dgos rA da 'o 'di bsams kyi 'dug da rA ngas gzhas rtsom rogs byed dgos A tshig rdzun ma zer yin hi hi hi /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0006_0180_1496129_to_1503410.wav,STT_NS,3,162,7.281,wav16k/STT_NS_M0006_0180_1496129_to_1503410.wav,ང་ད་གཞས་འདྲ་བོ་རྩོམ་རྩོམ་སེ་ལབ་ད་ཡོད་བ། ཁྱོད་གཞས་རྩོམ་ནས་གཞས་བཏང་དགོས་རེ་ད། ་བསམ་གི་རེད་ད། ངས་གཞས་རྩོམ་རོགས་བྱེས་ཡོ་ཚིག་རྫུན་མ་་ག
STT_NS_M0006_0078_637512_to_644591,ཁོ་ཕྱི་རྒྱལ་ལ་འགྲོ་རེད་དེ་ནས་ཁོས་གཞས་བཟོ་ཡས་མཚམས་གཞག་ས་ངས་ཏེ་སི་ཕངས་པོ་འདྲ་བོ་མཐོང་སོང་ ཡང་ཁོས་སྔོན་མ་ད ,kho phyi rgyal la 'gro red de nas khos gzhas bzo yas mtshams gzhag sa ngas te si phangs po 'dra bo mthong song _yang khos sngon ma da_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0006_0078_637512_to_644591.wav,STT_NS,3,104,7.079,wav16k/STT_NS_M0006_0078_637512_to_644591.wav,ཁོ་རྒྱ་ཕྱི་རྒྱལ་ལ་འགྲོ་དས་ད་ཁོ་ཨེ་འདྲ་བྱས་ནས་ད་ཁོ་གཞས་བཟོ་ཡ་མཚམས་བཞག་སོང་ང་ཏོག་ཙི་ཕམ་པོ་འདྲ་བོ་མཐོང་སོང་ཡང་ཁོི་སྔོན་མ་ད
